31,"'El Francés', José",m,"Montpellier, Hérault, France",1971
33,"'El Gato', Félix",m,,
734,"Aames, Willie",m,"Los Angeles, California, USA",15 July 1960
882,"Aaron, Jack",m,"New York City, New York, USA",1 May 1933
1135,"Abad de Santillán, Diego",m,,
1160,"Abad, Diego",m,,
1166,"Abad, Francisco",m,,
1185,"Abad, Kike",m,,
1188,"Abad, Manuel",m,"A Coruña, A Coruña, Galicia, Spain",1953
1212,"Abadal, Francisco José",m,,
1213,"Abadal, Ignasi",m,"Barcelona, Barcelona, Catalonia, Spain",
1220,"Abades, César",m,,
1222,"Abades, Reyes",m,,
1272,"Abadou, Youness",m,,
1308,"Abajo, David",m,,
1332,"Abalde, Eugenio",m,,
1431,"Abascal, Cecilio",m,,
1436,"Abascal, Miguel",m,,
1472,"Abatantuono, Diego",m,"Milan, Lombardy, Italy",20 May 1955
1487,"Abate, Massimo",m,,
1500,"Abati, Joaquín",m,,
1758,"Abbati, Stefano",m,,
2103,"Abbott, Thomas",m,,
2142,"Abbrescia, Dino",m,"Bari, Puglia, Italy",18 August 1966
2150,"Abbu, Anwuar",m,,
2221,"Abdallah, Mouzahem",m,,
2379,"Abdelkrim, H'Maia",m,,
2526,"Abdo, Joe",m,,
3031,"Abeal, Marcelo",m,,
3104,"Abeijón, Luis",m,,
3108,"Abeillé, Jean",m,France,1932
3135,"Abel, Dominique",m,,1957
3259,"Abeledo, Danny",m,,
3336,"Abella, Rafael",m,"Barcelona, Spain",1917
3367,"Abellá, Luis",m,,
3371,"Abellán, Ismael",m,Spain,November 1948
3442,"Aber, Christopher",m,"Burbank, California, USA",5 February 1959
3450,"Aberasturi, Andrés",m,"Madrid, Madrid, Spain",1948
3452,"Aberasturi, Fontxo",m,,
3622,"Abeytua, César",m,,
4001,"Abot, Didier",m,,
4150,"Abraham Mestre, Ignacio",m,,
4202,"Abraham, F. Murray",m,"Pittsburgh, Pennsylvania, USA",24 October 1939
4255,"Abraham, Nicolas",m,,
4352,"Abrahams, Jody",m,"Cape Town, South Africa",1974
4394,"Abrahamsen, Svend",m,,
4715,"Abrams, Tom",m,,
4852,"Abreu, Aurelio",m,,
4892,"Abreu, Juan Manuel",m,,
4931,"Abrhám, Josef",m,"Zlín, Protectorate Bohemia and Moravia [now Czech Republic]",14 December 1939
4954,"Abril, Albert",m,"Barcelona, Barcelona, Catalonia, Spain",19 January 1947
4958,"Abril, Gonzalo",m,,
4967,"Abril, Pitu",m,,
5014,"Abrunhosa, Pedro",m,"Oporto, Portugal",20 December 1960
5156,"Abu Libda, Ghassan",m,,
5175,"Abu Sal'oum, Ahmad",m,,
5362,"Abusada, Jordi",m,,
5417,"Abzalov, Melis",m,"Ianguioul, Uzbekistan, USSR",18 November 1938
5424,"Abós, Manuel",m,,
5445,"Acaiabe, João",m,,
5508,"Acaso, Fernando",m,"Madrid, Madrid, Spain",28 November 1963
5509,"Acaso, Félix",m,"Madrid, Spain",18 August 1919
5606,"Accornero, Roberto",m,"Ivrea, Piedmont, Italy",1957
5662,"Acebal, Antonio",m,,
5663,"Acebal, Fernando",m,"Madrid, Madrid, Spain",1968
5679,"Acedo, Davis",m,,
5682,"Acedo, Manuel",m,,
5698,"Aceo, Amador",m,,
5700,"Acera, Julio César",m,,
5701,"Acera, Santiago",m,,
5720,"Acero, Arturo",m,,
5722,"Acero, Gerard",m,,
5725,"Acero, Johnny",m,"Bogota, Colombia",1 February 1972
5762,"Acevedo, Agustín",m,,
5803,"Acevedo, Gustavo",m,,
5826,"Acevedo, Llorenç",m,,
5881,"Aceves, Heriberto",m,,
5941,"Achard, Olivier",m,,
5992,"Achaval, Sebastian",m,,
6003,"Ache, Josep",m,,
6028,"Achenguadi, Amomen",m,,
6188,"Achury, Diego",m,,
6219,"Acinas, Ángel",m,,
6422,"Ackermans, Jan",m,,
6504,"Ackroyd, Barry",m,"Manchester, England, UK",12 May 1954
6603,"Acosta Cazares, Roberto",m,,
6604,"Acosta Esparza, Damián",m,,
6629,"Acosta, Angel",m,,
6637,"Acosta, Armando",m,,1922
6649,"Acosta, Carlos",m,"Havana, Cuba",9 March 1965
6682,"Acosta, Emilio",m,,
6691,"Acosta, Francisco",m,,
6736,"Acosta, José Luis",m,"Ubeda, Jaen, Andalucia, Spain",1961
6737,"Acosta, José Manuel",m,,
6738,"Acosta, José Maria",m,,
6739,"Acosta, Juan",m,Argentina,1957
6817,"Acosta, Sergio",m,,
6833,"Acosta, Wilfrido",m,,
7096,"Adabashyan, Aleksandr",m,"Moscow, Russian SFSR, USSR [now Russia]",10 August 1945
7262,"Adalid, Jaime",m,,
7436,"Adam, Peter R.",m,"Pirmasens, Rhineland-Palatinate, Germany",29 May 1957
7707,"Adamovic, Jozef",m,"Trnava, Slovakia",23 April 1939
8799,"Adams, Richard C.",m,USA,2 September 1935
9039,"Adams, Vincent",m,,
9143,"Adamson, Christopher",m,,
9247,"Adan, Pedro",m,,
9359,"Addahri, Hassan",m,,
9360,"Addai, Jackson",m,,
9671,"Adefarasin, Remi",m,"London, England, UK",1948
9771,"Adelin, Jean-Claude",m,"Bruxelles, Belgium",1958
9783,"Adell, José",m,,
10012,"Adeva, Chema",m,,
10266,"Adjemián, Martín",m,"Buenos Aires, Argentina",12 December 1932
10489,"Adler, Don",m,,
10694,"Adnan, Augusto",m,,
10698,"Adnan, J. María",m,,
10699,"Adnan, Javier",m,,
10700,"Adnan, Juan",m,,
10701,"Adnan, Julio",m,,
10863,"Adorf, Mario",m,"Zurich, Switzerland",8 September 1930
11082,"Adric, Daniel",m,,
11086,"Adrien, Gilles",m,,
11106,"Adriá, Francisco",m,,
11107,"Adriá, Paco",m,,
11247,"Adán, Pablo",m,,
11280,"Aedo, Daniel",m,,
11495,"Affleck, Rab",m,"Irvine, Ayrshire, Scotland, UK",30 January 1953
11574,"Afman, Frans J.",m,"Arnhem, Gelderland, Netherlands",11 December 1933
11760,"Afsharian, Farshid",m,,
11979,"Agarici, Alexandru",m,,
12242,"Agelet, Jesús",m,"Balaguer, Lleida, Catalonia, Spain",1954
12249,"Agell, Miquel",m,,
12479,"Aginako, Arturo",m,,
12491,"Agirre, Ramón",m,"Donostia, Gipuzkoa, Euskadi, Spain",1949
12613,"Agnew, Iain",m,,
12798,"Agosto, William",m,"Cayey, Puerto Rico",19 January 1934
12804,"Agostí, Carlos",m,Spain,1922
12826,"Agra, Alfonso",m,"Arzúa, A Coruña, Galicia, Spain",1959
12851,"Agramunt, Víctor",m,,
12858,"Agranovich, Mikhail",m,,
12906,"Agrelo, Xosé M.",m,,
12918,"Agresti, Alejandro",m,"Buenos Aires, Argentina",2 June 1961
12930,"Agri, Antonio",m,"Rosario, Santa Fe, Argentina",5 May 1932
12997,"Aguado, Javier",m,,
13000,"Aguado, Jose Luis",m,,
13001,"Aguado, José",m,,
13004,"Aguado, José Miguel",m,,
13005,"Aguado, Juan Jose",m,,
13007,"Aguado, Manuel",m,,
13011,"Aguado, Nazario",m,,
13018,"Aguado, Victorio",m,"Barcelona, Cataluña, Spain",9 May 1923
13019,"Aguado, Álvaro",m,,
13033,"Aguat, Carlos",m,,
13049,"Aguayo, José María",m,,
13086,"Agudín, Luis",m,,
13130,"Agui, José María",m,,
13149,"Aguiar, Edmundo",m,,
13233,"Aguilar Vicente, Antonio",m,"Valencia, Comunidad Valenciana, Spain.",27 March 1959
13281,"Aguilar, Carlos",m,,
13342,"Aguilar, Fernando",m,,
13347,"Aguilar, Francisco",m,,
13375,"Aguilar, Héctor",m,,
13392,"Aguilar, Joan",m,,
13400,"Aguilar, Jordi",m,,
13420,"Aguilar, José María",m,,
13448,"Aguilar, Manolo",m,,
13449,"Aguilar, Manuel",m,,
13464,"Aguilar, Miguel",m,,
13468,"Aguilar, Miguel Ángel",m,"Madrid, Spain",1943
13489,"Aguilar, Paco",m,"Sevilla, Andalucía, Spain",1 January 1949
13516,"Aguilar, Salvador",m,,
13519,"Aguilar, Santiago",m,,
13540,"Aguilar, Tony",m,,
13569,"Aguilera, Alex",m,,
