961,003 y medio,1979
1612,10 + 2,1994
4617,13 x 13,1987
4644,135 escons,1986
8512,24 imágenes por segundo,1977
9811,"3, 2, 1... contacto",1982
10723,30 minutos,1991
10724,30 minuts,1984
11144,300 millones,1977
11283,35 millones de españoles,1975
11979,3res 14torze 16tze,1989
12133,3x4,1986
12907,48 horas,1987
16608,625 líneas,1976
17533,7 vidas,1999
20161,A cara descuberta,1995
20319,A cociñar con Paco Feixó,1994
20402,A conta atrás,1992
20417,A contrafío,1987
21756,A debat,1989
21769,A debate,1990
22188,"A dos de cinc, te o cafè?",1988
22261,A dúas bandas,1986
22262,A Electra le sienta bien el luto,1986
22599,A familia mudanza,1993
22600,A familia Pita,1996
23034,A fondo,1976
24179,A l'est del Besòs,1988
24196,A la calle,1990
24315,A la caza del tesoro,1984
24347,A las diez en casa,1995
24361,A las ocho con Raffaella,1993
24375,A las once en casa,1998
25306,A media tarde,1985
25316,A media voz,1987
25344,"A mediodía, alegría",1992
25376,A mellor tv do mundo,1987
25380,A mi manera,1989
25942,A noite das badaladas,1988
25943,A noite en blanco,1998
25958,A otra cosa,1993
26299,A pie de página,1991
26300,"A pie, en bici o en moto",1982
26664,A por todas,1990
27160,A quién se le ocurre,1995
27193,A Reoca,1990
27194,A repanocha,1996
27196,A revista,1990
27310,A saúde,1993
27449,A simple vista,1975
27574,A su salud,1997
27692,A su servicio,1994
27991,A terra,1986
28026,A toda página,1994
28450,A toda risa,1999
28459,A tope,1987
28646,A trabe de ouro,1986
28674,A través del espejo,1988
28684,A tres bandes,1988
29650,A tumba aberta,1988
30089,A vista de pájaro,1986
30317,A ze parea,1994
33574,Abierto por vacaciones,1993
36196,Acción D.F.,1998
37095,Acompáñame,1992
38007,Actors en primer pla,1983
39159,Ada Madrina,1999
40244,Adivina quien viene esta noche,1989
40245,Adivina quién miente esta noche,1994
40255,Adiviña quen vén esta noite,1990
43549,Agenda informativa,1986
43961,Agrosfera,1995
44494,Agència de viatges,1993
44726,Ahora o nunca,1992
45200,Ahí te quiero ver,1984
46583,Això no és tot!,1996
46653,Això és massa!,1991
48079,Al ataque,1992
48108,Al compás de la copla,1996
48205,Al filo de la ley,1993
48242,Al galope,1984
48244,Al grano,1994
48247,Al habla,1998
48429,Al mil por mil,1983
48626,Al salir de clase,1997
50989,Alcores,1981
51040,"Aleph, lectures contades",1999
51063,Alerta 112,1998
51295,Alex y Alexis,1998
52376,Algo más que flamenco,1998
54307,All in the Game,1993
61240,Alquibla,1988
61634,Alta tensión,1998
66051,Amb el cor a la mà,1995
66083,Amb l'aigua al coll,1990
66173,Ambiciones,1998
74274,Amor a primera vista,1991
74278,Amor a primera vista,1991
74279,Amor a primera vista,1992
74280,Amor a primera vista,1997
74283,Amor a primera vista,1998
74755,Amor meu,1981
75266,"Amor, salut i feina",1987
75650,América total,1996
76397,Ana,1996
77574,Andalucía Directo,1998
77577,"Andalucía, un siglo de fascinación",1996
77586,Andante,1977
80626,Anillos de oro,1983
84853,Antena 3 directo,1997
84854,Antena 3 noticias,1990
89744,Antología de la zarzuela,1979
89754,"Antonio Machado, a lomos de una quimera",1998
90472,Apaga a luz,1999
90473,Apaga y vámonos,1995
90561,Aperitiu amb...,1983
90773,Aplauso,1978
91542,"Aquest any, cent!",1998
91649,Aquí hay negocio,1995
93233,Aquí hemos venido a lo que hemos venido,1995
93234,Aquí jugamos todos,1995
93379,Aquí no hay quien duerma,1995
93617,Aquí y ahora,1975
94267,Arco de triunfo,1991
95207,Arestora,1988
97062,Arnau,1994
98131,Arroz con chícharos,1990
98187,Arsenal Atlas,1987
98201,Arsenal,1985
98377,Art Attack,1999
98538,Art Flash,1981
99989,Arévalo y cia,1994
100131,As de ouros,1989
105417,Así como suena,1982
105421,Así es la vida,1993
105423,Así es la vida,1999
105432,"Así fue, así lo cuentan",1987
105548,Así son las cosas,1997
106907,Atac i gol,1991
107779,Atrévete a soñar,1998
109471,Auambabuluba balambambú,1985
110369,Auga de verán,1989
110409,Aula 2001,1986
112361,Autor por autor,1997
112443,Autorretrato,1984
112467,Autors catalans d'avui,1983
112561,Autògrafs,1996
113187,Aventura 92,1989
113308,Avisa'ns quan arribi el 2000,1997
113681,Avui per demà,1991
114370,Axut,1998
114415,"Ay Lola, Lolita, Lola",1995
114439,"Ay, vida mía",1992
118975,Bajo cero,1998
120345,Bambán Club,1991
123097,Barcelona 1992: Games of the XXV Olympiad,1992
123155,Barcelona: Juegos de sociedad,1992
125217,Barney,1988
125308,Barrio Sésamo,1979
137119,Bellezas al agua,1990
137148,Bellezas en la nieve,1991
138519,Benvinguts,1984
138586,Berenar a Sant Cugat,1984
139947,Bertan Zoro,1991
141202,Betes i films,1990
144579,Bi eta bat,1991
144875,Biblioteca Nacional,1982
154832,Bis a vis,1998
155099,Bit a bit,1995
155127,Bit-TVE,1992
156020,"Bla, bla, bla",1981
157070,Blanc o negre,1987
157085,Blanco y negro,1981
157395,Blasco Ibáñez,1997
161714,Boa noite,1985
163169,Bobobobs,1988
164157,Bojos pel ball,1997
164905,"Bon dia, Catalunya",1992
165985,Bonic vespre,1996
169188,Botó fluix,1986
171655,"Bravo, bravísimo",1995
175158,Bricomanía,1994
175875,Brigada central 2: La guerra blanca,1992
175888,Brigada central,1989
181384,Buenas noches,1982
181628,Buenos días,1986
181705,"Buenos días, Madrid",1993
184150,Buscamos unha estrela,1994
184523,Butaca de patio,1989
185875,Búscate la vida,1986
188004,Cada día,1998
188168,Cada mañana,1991
188406,Café con leche,1998
188647,"Café, café",1993
189031,Caiga quien caiga,1996
189632,Caja de ritmos,1983
189727,Cajón desastre,1988
189921,Cala mar,1999
190009,Caliente,1991
191341,Calle nueva,1997
193546,Camino de Santiago,1999
193753,Campanadas de Fin de Año,1990
193755,Campanadas del año,1990
193928,Campeones de la playa,1994
196052,Canal 24 horas,1997
196134,Canarias Noticias,1990
196145,Canciones de nuestra vida,1997
196152,Canciones de una vida,1979
196161,Canciones de verano,1995
196163,Canciones del desván,1975
196182,Candel,1987
196325,Candilejas,1985
196397,Canguros,1994
196805,Cantando se hace camino,1977
196806,Cantantes y sonantes,1985
196817,Cantares,1978
196957,Cap problema,1996
197011,Capelito,1999
197854,Captain James Cook,1987
198294,Captain Star,1997
198644,Cara a cara,1999
199048,Carandelario,1990
199816,"Carme i David, cuina, menjador i llit",1984
199841,Carmen y familia,1996
200438,Cartafol,1989
200490,Cartelera,1994
201743,Casa para dos,1995
204495,Castillos en el aire,1999
205879,Catalunya avui,1999
205928,Català amb nosaltres,1978
207490,Cañas y barro,1978
211816,Celia,1993
211958,Cent anys de cançons,1999
212417,Centro médico,1997
212418,Centros de poder,1994
212576,Cerca de las estrellas,1989
212578,Cerca de tí,1993
212916,Cervantes,1980
214088,Chambo,1999
215395,Chantatachan,1992
227648,Cicle Ibsen,1984
227652,Cicle Santiago Rusiñol,1981
228008,Cifras y letras junior,1993
228061,Cifras y letras,1991
228751,Cine de barrio,1995
229342,Cinema 100,1995
229350,Cinema 3,1984
231525,Cinéma,1988
231879,Circo pop,1988
232087,Cita amb...,1982
232100,Cita con Apeles,1997
232113,Cita con la vida,1993
233192,Ciudad abierta,1994
233261,Ciudades perdidas,1988
233263,Ciutadans,1994
233458,Clan Clip,1989
233736,Clar i català,1981
233936,Clase media,1987
235639,"Clip, clap, video",1991
235640,Clip-Club,1986
235664,Clipmanía,1992
236478,Club Disney,1989
237152,Club Megatrix,1995
239894,Club Super 3,1991
242144,Coa miña xente,1992
243047,Cocina con fundamento,1998
244633,Colegio mayor,1994
245816,Com a casa,1989
248320,Comer es un placer,1994
250130,Como la vida misma,1992
250146,Como la vida,1999
250751,Como Pedro por su casa,1985
251141,Compañeros,1998
251363,Composteláns,1989
251456,Compuesta y sin novio,1994
251667,Con las manos en la masa,1984
251733,Con luz propia,1995
251775,Con mucha marcha,1997
252167,Con música propia,1995
252169,Con otro acento,1976
252170,Con otro aire,1996
252192,Con perdón,1997
252201,Con t de tarde,1997
252296,Con ustedes... Pedro Ruíz,1992
253013,Condenadas a entenderse,1999
253114,Confesiones,1994
254192,Conocemos España,1978
254583,Consumo,1981
