AA,2008-10-25,2,SYR,N335AA,1840,2009
US,2008-10-25,12,MDT,N664AW,1846,2027
CO,2008-10-25,16,SYR,N57111,1902,2111
AA,2008-10-25,24,IAD,N352AA,1812,2010
WN,2008-10-27,41,HRL,,1902,""
UA,2008-10-26,46,ONT,N590UA,428,630
AS,2008-10-26,55,SCC,N765AS,1043,1150
WN,2008-10-27,60,HRL,N352SW,2021,2036
B6,2008-10-25,62,LGA,,2009,""
UA,2008-10-25,68,ONT,N595UA,510,652
WN,2008-10-27,108,LAS,,825,""
DL,2008-10-25,118,PVD,N3753,1657,2000
B6,2008-10-25,126,ROC,N623JB,1815,2040
DL,2008-10-25,150,SYR,N675DL,1846,2015
AS,2008-10-27,153,OME,N762AS,1939,2114
AS,2008-10-27,153,ANC,,2,""
AS,2008-10-27,153,OTZ,N762AS,2147,2250
NW,2008-10-27,165,BIS,N595NW,2243,2357
B6,2008-10-25,176,PIT,N582JB,1836,2018
B6,2008-10-25,178,AVP,N655JB,2144,2256
AA,2008-10-25,181,LAS,N319AA,2339,24
UA,2008-10-25,192,MDT,N538UA,1841,2024
FL,2008-10-25,203,ATL,N954AT,1953,2129
B6,2008-10-25,204,ROC,N635JB,1815,2044
B6,2008-10-25,206,AVP,N509JB,2148,158
AA,2008-10-25,258,BDL,N5FSAA,1632,1744
WN,2008-10-26,326,DAL,N912WN,956,1048
FL,2008-10-25,337,ATL,N933AT,1544,1704
AA,2008-10-25,358,BWI,N473AA,1952,2219
AA,2008-10-25,360,BWI,N473AA,1944,""
NW,2008-10-25,362,DEN,N358NW,334,500
WN,2008-10-27,376,CMH,N239WN,754,845
HA,2008-10-27,382,HNL,N475HA,1011,1048
NW,2008-10-25,394,PIT,N338NW,1903,924
B6,2008-10-25,394,IAD,N558JB,2306,23
FL,2008-10-25,399,BWI,N919AT,2204,2248
UA,2008-10-25,402,PIT,N428UA,1843,1933
CO,2008-10-27,403,ONT,N76514,843,926
AA,2008-10-25,412,BDL,N5FHAA,1757,1926
UA,2008-10-25,473,ONT,N848UA,2310,12
WN,2008-10-27,495,ONT,N443WN,818,920
WN,2008-10-25,582,IAD,N225WN,1900,2047
AA,2008-10-25,592,BWI,N5EGAA,1935,2221
NW,2008-10-25,632,PIT,N353NB,1856,931
DL,2008-10-27,637,CVG,N3757D,2315,27
UA,2008-10-25,651,ONT,N427UA,2236,2348
WN,2008-10-27,658,LAS,N466WN,826,947
US,2008-10-25,658,PIT,N835AW,1916,2045
B6,2008-10-26,662,SYR,N294JB,1926,2110
WN,2008-10-27,728,BUR,N241WN,859,949
AA,2008-10-25,732,BDL,N219AA,1819,2007
AA,2008-10-25,736,PIT,N3DGAA,1810,2237
AA,2008-10-25,738,CMH,N477AA,1812,2223
AA,2008-10-25,742,ORD,N550AA,1817,1911
US,2008-10-25,750,PIT,N934UW,1935,2053
WN,2008-10-27,760,ONT,N461WN,756,843
NW,2008-10-26,808,BOI,N818NW,353,541
US,2008-10-27,817,PIT,N434US,947,1541
DL,2008-10-26,908,ATL,N659DL,1130,1232
DL,2008-10-25,950,LAX,N127DL,2346,208
US,2008-10-25,957,CLT,N441US,1006,1142
WN,2008-10-25,969,MHT,N212WN,2131,25
US,2008-10-26,969,DEN,N106US,1155,1230
WN,2008-10-25,984,BWI,N437WN,2003,2039
WN,2008-10-27,1067,BUR,N743SW,811,948
AA,2008-10-25,1086,IAD,N446AA,2022,2123
AA,2008-10-25,1104,IAD,N584AA,1859,2247
DL,2008-10-25,1132,BOS,N3743H,2210,""
WN,2008-10-27,1165,ONT,N211WN,815,929
UA,2008-10-25,1234,BOS,,2238,""
NW,2008-10-25,1276,DTW,N331NW,1919,2053
AA,2008-10-25,1314,ORF,N504AA,1739,1851
DL,2008-10-25,1360,DCA,N909DE,1850,2001
WN,2008-10-27,1360,ONT,N473WN,812,956
DL,2008-10-25,1397,BDL,N916DE,2105,""
DL,2008-10-25,1402,BOS,N920DL,2233,120
AA,2008-10-26,1404,DFW,N423AA,833,1045
DL,2008-10-25,1460,BWI,N983DL,1830,1958
UA,2008-10-26,1490,LAS,N438UA,1138,1254
US,2008-10-25,1490,PHL,N111US,1814,2232
US,2008-10-25,1500,PIT,N737US,1921,2047
DL,2008-10-25,1508,BWI,N921DL,2209,2332
WN,2008-10-27,1525,ONT,N332SW,839,945
AA,2008-10-25,1530,EWR,N5BTAA,1836,2010
NW,2008-10-26,1561,BUF,N771NC,1005,1119
NW,2008-10-27,1571,MKE,,614,""
US,2008-10-25,1571,PIT,,2012,""
WN,2008-10-27,1600,LAX,N489WN,850,946
US,2008-10-25,1607,MDT,N425US,2001,2047
DL,2008-10-26,1736,ONT,N752AT,552,742
NW,2008-10-26,1769,MKE,N785NC,1658,1751
NW,2008-10-25,1770,MDT,N779NC,1945,2103
WN,2008-10-27,1791,ONT,N227WN,759,923
WN,2008-10-25,1817,PVD,N387SW,2233,2353
WN,2008-10-26,1872,SDF,N423WN,1013,1055
WN,2008-10-25,2017,BWI,N614SW,2041,2115
AA,2008-10-25,2022,IAD,N586AA,1816,2006
XE,2008-10-25,2090,MDT,,2132,""
WN,2008-10-25,2332,PIT,N928WN,1918,2031
WN,2008-10-25,2433,TPA,N776WN,2101,2211
AA,2008-10-27,2459,ABQ,N5ERAA,1736,1831
WN,2008-10-25,2460,PVD,N463WN,2302,112
WN,2008-10-25,2472,PVD,N249WN,1937,2033
WN,2008-10-27,2616,ONT,N272WN,820,1005
YV,2008-10-26,2752,SBA,,2150,""
WN,2008-10-25,2841,BWI,N728SW,2036,2110
