LAX,JFK,AA,N335AA,2008-10-25,2,935,935,1802,2153
PHX,JFK,US,N664AW,2008-10-25,12,903,1005,1700,2218
LAX,EWR,CO,N57111,2008-10-25,16,1020,1033,1837,2206
SFO,JFK,AA,N352AA,2008-10-25,24,810,823,1640,2123
DAL,HOU,WN,N433LV,2008-10-27,41,1630,1752,1735,""
OGG,LAX,UA,N590UA,2008-10-26,46,2041,2039,443,651
SCC,BRW,AS,N765AS,2008-10-26,55,932,935,1021,1229
CRP,HOU,WN,N352SW,2008-10-27,60,1945,1955,2035,2121
FLL,JFK,B6,N598JB,2008-10-25,62,1430,1740,1717,""
LIH,LAX,UA,N595UA,2008-10-25,68,2043,2037,502,718
DEN,SAN,WN,N438WN,2008-10-27,108,715,713,840,""
PHX,JFK,DL,N3753,2008-10-25,118,635,749,1421,2122
DEN,JFK,B6,N623JB,2008-10-25,126,1113,1159,1700,29
SFO,JFK,DL,N675DL,2008-10-25,150,910,908,1755,43
ANC,OTZ,AS,N762AS,2008-10-27,153,1750,1801,1924,2152
OTZ,OME,AS,N762AS,2008-10-27,153,2009,2247,2053,""
OME,ANC,AS,N762AS,2008-10-27,153,2138,2108,2303,4
MSP,SEA,NW,N595NW,2008-10-27,165,2130,2128,2306,16
SEA,JFK,B6,N582JB,2008-10-25,176,910,940,1730,2228
PHX,JFK,B6,N655JB,2008-10-25,178,1145,1257,1935,2343
JFK,LAX,AA,N319AA,2008-10-25,181,1745,1938,2100,125
LAX,PHL,UA,N538UA,2008-10-25,192,852,953,1705,2055
ATL,CAK,FL,N965AT,2008-10-25,203,1905,1924,2042,2246
LGB,JFK,B6,N635JB,2008-10-25,204,840,917,1703,2309
LGB,JFK,B6,N509JB,2008-10-25,206,1100,1307,1930,237
LAS,JFK,AA,N5FSAA,2008-10-25,258,730,819,1545,1850
DAL,HOU,WN,N663SW,2008-10-26,326,900,927,1000,1147
ATL,LGA,FL,N930AT,2008-10-25,337,1455,1452,1720,1917
ORD,LGA,AA,N583AA,2008-10-25,358,1600,1600,1920,2321
ORD,LGA,AA,N473AA,2008-10-25,360,1510,1509,1825,""
SFO,MSP,NW,N358NW,2008-10-25,362,15,13,544,744
CMH,LAS,WN,N239WN,2008-10-27,376,715,715,845,945
HNL,ITO,HA,N475HA,2008-10-27,382,944,940,1035,1146
MSP,LGA,NW,N338NW,2008-10-25,394,1515,1511,1859,1019
MCO,LGA,B6,N558JB,2008-10-25,394,1730,2000,2015,108
ATL,LGA,FL,N919AT,2008-10-25,399,1950,2003,2208,2356
DEN,LGA,UA,N428UA,2008-10-25,402,1031,1221,1618,""
IAH,SAN,CO,N76514,2008-10-27,403,715,714,834,954
STT,JFK,AA,N5FHAA,2008-10-25,412,1305,1254,1700,2032
ORD,SNA,UA,N848UA,2008-10-25,473,1959,2055,2227,""
TUS,SAN,WN,N443WN,2008-10-27,495,615,617,730,946
LAS,PHL,WN,N225WN,2008-10-25,582,1045,1040,1840,2135
MIA,LGA,AA,N5EGAA,2008-10-25,592,1625,1631,1920,2331
MEM,LGA,NW,N353NB,2008-10-25,632,1420,1415,1821,1043
JFK,PHX,DL,N3757D,2008-10-27,637,1650,2106,1941,102
ORD,SAN,UA,N427UA,2008-10-25,651,2010,2041,2237,14
MDW,SAN,WN,N466WN,2008-10-27,658,640,637,900,1058
SFO,PHL,US,N835AW,2008-10-25,658,1045,1044,1906,2143
MCO,BUF,B6,N294JB,2008-10-26,662,1635,1635,1903,2201
SFO,SAN,WN,N241WN,2008-10-27,728,630,625,755,1027
DFW,LGA,AA,N219AA,2008-10-25,732,1310,1307,1745,2047
DFW,LGA,AA,N3DGAA,2008-10-25,736,1400,1355,1830,28
DFW,LGA,AA,N477AA,2008-10-25,738,1450,1448,1930,30
DFW,LGA,AA,N550AA,2008-10-25,742,1555,1550,2029,2244
LAS,PHL,US,N934UW,2008-10-25,750,1129,1129,1914,2153
SMF,SNA,WN,N461WN,2008-10-27,760,615,614,740,856
HNL,MSP,NW,N818NW,2008-10-26,808,1720,1717,558,908
ORD,PHL,US,N434US,2008-10-27,817,715,732,1023,1640
ATL,LGA,DL,N659DL,2008-10-26,908,1040,1046,1304,1431
LAX,ATL,DL,N127DL,2008-10-25,950,2245,2242,554,859
PIT,FLL,US,N441US,2008-10-25,957,810,811,1045,1322
MDW,BDL,WN,N212WN,2008-10-25,969,1805,1806,2105,51
PHL,SFO,US,N106US,2008-10-26,969,935,932,1241,1345
DEN,PHL,WN,N437WN,2008-10-25,984,1400,1406,1930,2110
OAK,SNA,WN,N743SW,2008-10-27,1067,600,601,730,1016
DFW,PHL,AA,N446AA,2008-10-25,1086,1555,1551,2005,2200
STL,LGA,AA,N584AA,2008-10-25,1104,1535,1532,1905,2358
CVG,BDL,DL,N3743H,2008-10-25,1132,1945,1938,2139,""
SMF,SAN,WN,N211WN,2008-10-27,1165,600,559,725,957
ORD,BDL,UA,N432UA,2008-10-25,1234,1855,1853,2205,""
MSP,JFK,NW,N331NW,2008-10-25,1276,1311,1406,1700,2255
